;iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;mes
1;AFG;Asia;Afghanistan;31/07/2020;36542;71;1271;0;939;1.824;33;0;NA;NA;NA;NA;NA;NA;NA;NA;;78.7;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;7
2;ALB;Europe;Albania;31/07/2020;5197;92;154;4;1806;31.969;54;1.39;NA;NA;NA;NA;NA;NA;NA;NA;;NA;2877800;104.871;38;13.188;8.643;11.803.431;1.1;304.195;10.08;7.1;51.2;NA;2.89;78.57;7
3;DZA;Africa;Algeria;31/07/2020;29831;602;1200;14;680;13.728;27;0.319;NA;NA;NA;NA;NA;NA;NA;NA;;NA;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;7
4;AND;Europe;Andorra;31/07/2020;922;4;52;0;11933;51.77;673;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;77265;163.755;NA;NA;NA;NA;NA;109.135;7.97;29;37.8;NA;NA;83.73;7
5;AGO;Africa;Angola;31/07/2020;1078;78;48;1;33;2.373;1;0.03;NA;NA;NA;NA;NA;NA;NA;NA;;NA;32866268;23.89;16.8;2.405;1.362;5.819.495;NA;276.045;3.94;NA;NA;26.664;NA;61.15;7
7;ATG;North America;Antigua and Barbuda;31/07/2020;91;0;3;0;929;0;31;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;97928;231.845;32.1;6.933;4.631;21.490.943;NA;191.511;13.17;NA;NA;NA;3.8;77.02;7
8;ARG;South America;Argentina;31/07/2020;178983;5641;3311;111;3960;124.813;73;2.456;13380;621816;13.758;0.296;11796;0.261;2.226;0.449;people tested;NA;45195777;16.177;31.9;11.198;7.441;18.933.907;0.6;191.032;5.5;16.2;27.7;NA;5;76.67;7
9;ARM;Asia;Armenia;31/07/2020;38550;354;738;10;13009;119.464;249;3.375;NA;NA;NA;NA;NA;NA;NA;NA;;NA;2963234;102.931;35.7;11.232;7.571;8787.58;1.8;341.01;7.11;1.5;52.1;94.043;4.2;75.09;7
10;ABW;North America;Aruba;31/07/2020;120;1;3;0;1124;9.366;28;0;NA;NA;NA;NA;NA;NA;NA;NA;;32.41;106766;584.8;41.2;13.085;7.452;35.973.781;NA;NA;11.62;NA;NA;NA;NA;76.29;7
11;AUS;Oceania;Australia;31/07/2020;16303;721;189;13;639;28.275;7;0.51;NA;NA;NA;NA;65714;2.577;153.486;0.007;tests performed;NA;25499881;3.202;37.9;15.504;10.129;44648.71;0.5;107.791;5.07;13;16.5;NA;3.84;83.44;7
12;AUT;Europe;Austria;31/07/2020;21009;163;718;2;2333;18.098;80;0.222;7358;897819;99.687;0.817;9140;1.015;72.131;0.014;tests performed;NA;9006400;106.749;44.4;19.202;13.748;45.436.686;0.7;145.183;6.35;28.4;30.9;NA;7.37;81.54;7
13;AZE;Asia;Azerbaijan;31/07/2020;31560;339;441;3;3113;33.435;43;0.296;NA;NA;NA;NA;NA;NA;NA;NA;;NA;10139175;119.309;32.4;6.018;3.871;15.847.419;NA;559.812;7.11;0.3;42.5;83.241;4.7;73;7
14;BHS;North America;Bahamas;31/07/2020;508;24;14;3;1292;61.03;36;7.629;NA;NA;NA;NA;NA;NA;NA;NA;;NA;393248;39.497;34.3;8.996;5.2;27.717.847;NA;235.954;13.17;3.1;20.4;NA;2.9;73.92;7
15;BHR;Asia;Bahrain;31/07/2020;40755;444;146;2;23951;260.933;86;1.175;4326;830998;488.368;2.542;8656;5.087;21.962;0.046;units unclear;69.44;1701583;1.935.907;32.4;2.372;1.387;43.290.705;NA;151.689;16.52;5.8;37.6;NA;2;77.29;7
16;BGD;Asia;Bangladesh;31/07/2020;234889;2695;3083;48;1426;16.364;19;0.291;NA;NA;NA;NA;NA;NA;NA;NA;;NA;164689383;1.265.036;27.5;5.098;3.262;3.523.984;14.8;298.003;8.38;1;44.7;34.808;0.8;72.59;7
17;BRB;North America;Barbados;31/07/2020;110;0;7;0;383;0;24;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;287371;664.463;39.8;14.952;9.473;16.978.068;NA;170.05;13.57;1.9;14.5;88.469;5.8;79.19;7
18;BLR;Europe;Belarus;31/07/2020;67665;147;553;5;7161;15.557;59;0.529;10842;1299428;137.515;1.147;9821;1.039;70.365;0.014;tests performed;11.11;9449321;46.858;40.3;14.799;9.788;17.167.967;NA;443.129;5.18;10.5;46.1;NA;11;74.79;7
19;BEL;Europe;Belgium;31/07/2020;69372;633;9842;2;5986;54.618;849;0.173;20750;1697961;146.507;1.79;19590;1.69;39.292;0.025;units unclear;55.56;11589616;375.564;41.8;18.571;12.849;42.658.576;0.2;114.898;4.29;25.1;31.4;NA;5.64;81.63;7
20;BLZ;North America;Belize;31/07/2020;48;0;2;0;121;0;5;0;NA;NA;NA;NA;NA;NA;NA;NA;;67.59;397621;16.426;25;3.853;2.279;7.824.362;NA;176.957;17.11;NA;NA;90.083;1.3;74.62;7
21;BEN;Africa;Benin;31/07/2020;1770;0;35;0;146;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;12123198;99.11;18.8;3.244;1.942;2.064.236;49.6;235.848;0.99;0.6;12.3;11.035;0.5;61.77;7
22;BMU;North America;Bermuda;31/07/2020;156;0;9;0;2505;0;145;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;62273;1308.82;NA;NA;NA;50.669.315;NA;139.547;13;NA;NA;NA;NA;82.59;7
23;BTN;Asia;Bhutan;31/07/2020;101;0;0;0;131;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;65.74;771612;21.188;28.6;4.885;2.977;8.708.597;1.5;217.066;9.75;NA;NA;79.807;1.7;71.78;7
24;BOL;South America;Bolivia;31/07/2020;75234;1700;2894;86;6445;145.635;248;7.367;3012;150470;12.89;0.258;2733;0.234;1.917;0.522;units unclear;89.81;11673029;10.202;25.4;6.704;4.393;6.885.829;7.1;204.299;6.89;NA;NA;25.383;1.1;71.51;7
26;BIH;Europe;Bosnia and Herzegovina;31/07/2020;11444;678;328;31;3488;206.656;100;9.449;NA;NA;NA;NA;NA;NA;NA;NA;;NA;3280815;68.496;42.5;16.569;10.711;11.713.895;0.2;329.635;10.08;30.2;47.7;97.164;3.5;77.4;7
27;BWA;Africa;Botswana;31/07/2020;804;0;2;0;342;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;;64.35;2351625;4.044;25.8;3.941;2.242;15.807.374;NA;237.372;4.81;5.7;34.4;NA;1.8;69.59;7
28;BRA;South America;Brazil;31/07/2020;2610102;57837;91263;1129;12279;272.098;429;5.311;NA;NA;NA;NA;NA;NA;NA;NA;;NA;212559409;25.04;33.5;8.552;5.06;14.103.452;3.4;177.961;8.11;10.1;17.9;NA;2.2;75.88;7
29;VGB;North America;British Virgin Islands;31/07/2020;8;0;1;0;265;0;33;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;30237;207.973;NA;NA;NA;NA;NA;NA;13.67;NA;NA;NA;NA;79.07;7
30;BRN;Asia;Brunei;31/07/2020;141;0;3;0;322;0;7;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;437483;81.347;32.4;4.591;2.382;71.809.251;NA;201.285;12.79;2;30.9;NA;2.7;75.86;7
31;BGR;Europe;Bulgaria;31/07/2020;11420;265;374;6;1644;38.138;54;0.864;5582;267045;38.432;0.803;5625;0.81;25.128;0.04;tests performed;NA;6948445;65.18;44.7;20.801;13.272;18.563.307;1.5;424.688;5.81;30.1;44.4;NA;7.454;75.05;7
32;BFA;Africa;Burkina Faso;31/07/2020;1117;0;53;0;53;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;20903278;70.151;17.6;2.409;1.358;1.703.102;43.7;269.048;2.42;1.6;23.9;11.877;0.4;61.58;7
33;BDI;Africa;Burundi;31/07/2020;387;0;1;0;33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;11890781;423.062;17.5;2.562;1.504;702.225;71.7;293.068;6.05;NA;NA;6.144;0.8;61.58;7
37;CPV;Africa;Cape Verde;31/07/2020;2373;0;23;0;4268;0;41;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;555988;135.58;25.7;4.46;3.437;6.222.554;NA;182.219;2.42;2.1;16.5;NA;2.1;72.98;7
