;iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;mes
1;AFG;Asia;Afghanistan;31/01/2020;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;0;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;1
2;AFG;Asia;Afghanistan;29/02/2020;1;0;0;0;0.026;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;8.33;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;2
3;AFG;Asia;Afghanistan;31/03/2020;141;27;4;0;3.622;0.694;0.103;0;NA;NA;NA;NA;NA;NA;NA;NA;;67.59;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;3
4;AFG;Asia;Afghanistan;30/04/2020;1949;122;60;0;50.066;3.134;1.541;0;NA;NA;NA;NA;NA;NA;NA;NA;;84.26;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;4
5;AFG;Asia;Afghanistan;31/05/2020;14525;866;249;3;373.121;22.246;6.396;0.077;NA;NA;NA;NA;NA;NA;NA;NA;;84.26;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;5
6;AFG;Asia;Afghanistan;30/06/2020;31238;271;733;12;802.449;6.962;18.829;0.308;NA;NA;NA;NA;NA;NA;NA;NA;;78.7;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;6
7;AFG;Asia;Afghanistan;31/07/2020;36542;71;1271;0;938.699;1.824;32.65;0;NA;NA;NA;NA;NA;NA;NA;NA;;78.7;38928341;54.422;18.6;2.581;1.337;1.803.987;NA;597.029;9.59;NA;NA;37.746;0.5;64.83;7
8;ALB;Europe;Albania;31/03/2020;223;11;12;2;77.49;3.822;4.17;0.695;NA;NA;NA;NA;NA;NA;NA;NA;;84.26;2877800;104.871;38;13.188;8.643;11.803.431;1.1;304.195;10.08;7.1;51.2;NA;2.89;78.57;3
9;ALB;Europe;Albania;30/04/2020;766;16;31;1;266.176;5.56;10.772;0.347;NA;NA;NA;NA;NA;NA;NA;NA;;89.81;2877800;104.871;38;13.188;8.643;11.803.431;1.1;304.195;10.08;7.1;51.2;NA;2.89;78.57;4
10;ALB;Europe;Albania;31/05/2020;1122;23;33;0;389.881;7.992;11.467;0;NA;NA;NA;NA;NA;NA;NA;NA;;86.11;2877800;104.871;38;13.188;8.643;11.803.431;1.1;304.195;10.08;7.1;51.2;NA;2.89;78.57;5
11;ALB;Europe;Albania;30/06/2020;2466;64;58;3;856.905;22.239;20.154;1.042;NA;NA;NA;NA;NA;NA;NA;NA;;64.81;2877800;104.871;38;13.188;8.643;11.803.431;1.1;304.195;10.08;7.1;51.2;NA;2.89;78.57;6
12;ALB;Europe;Albania;31/07/2020;5197;92;154;4;1.805.893;31.969;53.513;1.39;NA;NA;NA;NA;NA;NA;NA;NA;;NA;2877800;104.871;38;13.188;8.643;11.803.431;1.1;304.195;10.08;7.1;51.2;NA;2.89;78.57;7
13;DZA;Africa;Algeria;31/01/2020;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;0;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;1
14;DZA;Africa;Algeria;29/02/2020;1;0;0;0;0.023;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;0;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;2
15;DZA;Africa;Algeria;31/03/2020;584;73;35;4;13.318;1.665;0.798;0.091;NA;NA;NA;NA;NA;NA;NA;NA;;86.57;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;3
16;DZA;Africa;Algeria;30/04/2020;3848;199;444;7;87.752;4.538;10.125;0.16;NA;NA;NA;NA;NA;NA;NA;NA;;76.85;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;4
17;DZA;Africa;Algeria;31/05/2020;9267;133;646;8;211.329;3.033;14.732;0.182;NA;NA;NA;NA;NA;NA;NA;NA;;76.85;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;5
18;DZA;Africa;Algeria;30/06/2020;13571;298;905;8;309.48;6.796;20.638;0.182;NA;NA;NA;NA;NA;NA;NA;NA;;65.74;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;6
19;DZA;Africa;Algeria;31/07/2020;29831;602;1200;14;680.28;13.728;27.365;0.319;NA;NA;NA;NA;NA;NA;NA;NA;;NA;43851043;17.348;29.1;6.211;3.857;13.913.839;0.5;278.364;6.73;0.7;30.4;83.741;1.9;76.88;7
20;AND;Europe;Andorra;31/03/2020;370;36;8;2;4.788.714;465.929;103.54;25.885;NA;NA;NA;NA;NA;NA;NA;NA;;48.15;77265;163.755;NA;NA;NA;NA;NA;109.135;7.97;29;37.8;NA;NA;83.73;3
21;AND;Europe;Andorra;30/04/2020;743;0;42;1;9.616.256;0;543.584;12.942;NA;NA;NA;NA;NA;NA;NA;NA;;52.78;77265;163.755;NA;NA;NA;NA;NA;109.135;7.97;29;37.8;NA;NA;83.73;4
22;AND;Europe;Andorra;31/05/2020;764;0;51;0;9.888.048;0;660.066;0;NA;NA;NA;NA;NA;NA;NA;NA;;50;77265;163.755;NA;NA;NA;NA;NA;109.135;7.97;29;37.8;NA;NA;83.73;5
23;AND;Europe;Andorra;30/06/2020;855;0;52;0;11.065.812;0;673.008;0;NA;NA;NA;NA;NA;NA;NA;NA;;38.89;77265;163.755;NA;NA;NA;NA;NA;109.135;7.97;29;37.8;NA;NA;83.73;6
24;AND;Europe;Andorra;31/07/2020;922;4;52;0;11.932.958;51.77;673.008;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;77265;163.755;NA;NA;NA;NA;NA;109.135;7.97;29;37.8;NA;NA;83.73;7
